"CO_ENTIDADE","servicoColeta","queima","enterra","destinoFinalPublico","descartaEmOutraArea","reutiliza"
"26171414","0","1","0","0","0","0"
"26171430","0","1","0","0","0","0"
"26171449","","","","","",""
"26171457","0","1","0","0","0","0"
"26171481","","","","","",""
"26171490","0","1","0","0","0","0"
"26171546","0","1","0","0","0","0"
"26171554","0","1","0","0","0","0"
"26172011","0","1","0","0","0","0"
"26172089","","","","","",""
"26172097","0","1","0","0","0","0"
"26174707","0","1","0","0","0","0"
"26174715","1","1","0","0","0","0"
"26174723","0","1","0","0","0","0"
"26174731","0","1","0","0","0","0"
"26174740","0","1","0","0","0","0"
"26174758","0","1","0","0","0","1"
"26174812","0","1","0","0","0","0"
"26174820","","","","","",""
"26174839","","","","","",""
"26174847","0","1","0","0","0","0"
"26174855","","","","","",""
"26174863","0","1","0","0","0","1"
"26174871","0","1","0","0","0","1"
"26174880","","","","","",""
"26174898","","","","","",""
"26174901","","","","","",""
"26174910","0","1","0","0","0","0"
"26174928","","","","","",""
"26174936","","","","","",""
"26174952","0","1","0","0","1","0"
"26174960","","","","","",""
"26174979","0","1","0","0","0","1"
"26175002","","","","","",""
"26175010","0","1","0","0","0","0"
"26175037","","","","","",""
"26175045","0","1","0","0","0","1"
"26175053","0","1","0","0","0","0"
"26175061","0","1","0","0","0","1"
"26175070","0","1","0","0","0","0"
"26175088","","","","","",""
"26175096","0","1","0","0","0","0"
"26175100","","","","","",""
"26175118","0","1","0","0","0","0"
"26175126","","","","","",""
"26175142","","","","","",""
"26175169","","","","","",""
"26175185","0","1","0","0","0","0"
"26175193","0","1","0","0","0","1"
"26175207","0","1","0","0","0","0"
"26175215","0","1","0","0","0","1"
"26175223","0","1","0","0","0","1"
"26175231","","","","","",""
"26175240","0","1","0","0","0","1"
"26175258","","","","","",""
"26175266","0","1","0","0","0","0"
"26175282","0","1","0","0","0","0"
"26175304","","","","","",""
"26177218","","","","","",""
"26177226","0","1","0","0","0","1"
"26177242","","","","","",""
"26177250","","","","","",""
"26177277","0","1","0","0","0","0"
"26177293","","","","","",""
"26177307","0","1","0","0","0","0"
"26177315","","","","","",""
"26177323","0","1","0","0","0","1"
"26177331","","","","","",""
"26177340","0","1","0","0","0","1"
"26177358","","","","","",""
"26177510","0","1","0","0","0","1"
